neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights
46,14,2,3,1.5,1.0,1.0,3,4051.0,0.0,1,3000.0,1
49,1,0,2,1.0,1.0,2.0,3,2518.0,1000.0,1,2000.0,1
3,1,0,2,1.0,1.0,2.0,3,2518.0,1000.0,1,2000.0,1
18,14,2,2,1.0,1.0,2.0,3,4489.0,4000.0,1,3000.0,3
47,1,0,5,1.5,2.0,4.0,3,9306.0,6000.0,4,2500.0,3
18,14,2,2,1.0,1.0,1.0,3,4489.0,4000.0,1,3000.0,3
46,14,2,2,1.5,1.0,1.0,3,4051.0,0.0,1,3000.0,1
43,23,0,3,1.0,1.0,2.0,3,20034.0,5000.0,2,5000.0,3
42,14,0,3,1.0,1.0,1.0,3,19706.0,4379.0,2,3284.0,1
29,14,0,3,1.5,1.0,2.0,3,12042.0,5000.0,2,2000.0,2
46,14,2,2,1.5,1.0,1.0,3,4051.0,0.0,1,3000.0,1
46,14,2,1,1.5,1.0,1.0,3,4051.0,0.0,1,3000.0,1
45,1,0,3,1.0,1.0,2.0,3,7992.0,6000.0,2,2500.0,2
3,1,0,2,1.0,1.0,1.0,3,9525.0,4000.0,1,1500.0,3
51,14,0,4,1.0,1.0,2.0,3,12042.0,5000.0,3,2500.0,3
29,14,0,6,1.0,2.0,6.0,3,14998.0,5000.0,2,1500.0,3
19,14,0,7,1.5,3.0,2.0,3,10510.0,4800.0,3,1800.0,3
47,1,0,3,1.0,1.0,2.0,3,7554.0,6000.0,2,3500.0,2
44,1,0,3,1.0,1.0,2.0,3,8758.0,5000.0,2,3000.0,2
51,14,2,2,1.5,1.0,1.0,3,4379.0,547.0,1,1642.0,3
47,1,2,2,1.0,1.0,1.0,3,4708.0,0.0,1,3000.0,2
43,1,0,2,1.0,1.0,1.0,3,5036.0,5000.0,1,2000.0,2
47,1,0,6,1.0,2.0,5.0,3,7992.0,6900.0,3,4000.0,2
45,1,2,2,1.0,1.0,1.0,3,5036.0,3000.0,1,1000.0,3
29,1,0,6,1.0,1.0,2.0,3,14998.0,10000.0,3,3000.0,2
29,1,0,5,1.5,2.0,1.0,3,19815.0,8800.0,3,2200.0,1
45,1,0,5,1.0,2.0,4.0,3,16859.0,3800.0,1,0.0,3
43,1,0,8,1.0,0.0,6.0,3,9962.0,6000.0,3,2000.0,2
42,14,2,3,1.5,1.0,2.0,3,7992.0,7980.0,1,1980.0,1
49,1,0,4,1.0,0.0,4.0,3,7992.0,5474.0,2,1095.0,2
7,1,0,4,1.0,0.0,3.0,3,14998.0,6000.0,2,2000.0,1
27,23,0,9,1.0,3.0,2.0,3,7992.0,3500.0,2,2500.0,1
43,1,0,4,1.0,2.0,4.0,3,10948.0,3500.0,4,1000.0,2
46,14,2,2,1.0,1.0,2.0,3,2737.0,766.0,1,2190.0,1
46,16,0,5,1.0,1.0,2.0,3,4489.0,6500.0,2,3000.0,1
44,14,2,2,1.0,1.0,2.0,3,6788.0,0.0,1,4500.0,2
47,1,0,6,1.0,1.0,3.0,3,16422.0,4379.0,4,3284.0,1
47,1,0,8,1.0,1.0,5.0,3,15874.0,5474.0,6,3284.0,1
45,1,0,3,1.0,1.0,2.0,3,12042.0,4000.0,2,1500.0,2
49,14,2,4,1.0,1.0,2.0,3,4051.0,3000.0,1,2000.0,2
43,1,0,6,1.0,1.0,5.0,3,14998.0,8000.0,3,3000.0,2
45,1,0,4,1.0,2.0,4.0,3,13028.0,3800.0,1,0.0,3
46,1,0,4,1.0,0.0,3.0,3,2956.0,4000.0,3,1000.0,1
47,14,2,2,1.5,1.0,2.0,3,4051.0,3000.0,1,2300.0,1
45,14,2,3,2.0,1.0,3.0,3,15984.0,5000.0,1,900.0,2
45,14,0,4,1.5,1.0,4.0,3,16969.0,8000.0,1,2000.0,1
45,1,0,4,1.0,1.0,3.0,3,15984.0,7000.0,1,2000.0,1
49,14,0,3,1.0,1.0,2.0,3,7773.0,5500.0,2,2000.0,2
49,14,2,2,1.0,1.0,2.0,3,4051.0,3000.0,1,2000.0,2
43,1,0,3,1.0,1.0,1.0,3,8539.0,6000.0,1,4000.0,1
